date|symbol|sector|quantity|buy_price|price
2024-01-02|ZTS|Pharmaceuticals - Health Care|10|196.57|196.57
2024-01-02|ZBRA|Electronic Equipment & Instruments - Information Technology|7|267.98|267.98
2024-01-02|ZBH|Health Care Equipment - Health Care|16|121.39|121.39
2024-01-02|YUM|Restaurants - Consumer Discretionary|15|129.03|129.03
2024-01-02|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|113.67
2024-01-02|XOM|Integrated Oil & Gas - Energy|3|102.36|102.36
2024-01-02|WY|Timber REITs - Real Estate|1|34.79|34.79
2024-01-03|ZTS|Pharmaceuticals - Health Care|10|196.57|192.93
2024-01-03|ZBH|Health Care Equipment - Health Care|16|121.39|120.47
2024-01-03|YUM|Restaurants - Consumer Discretionary|15|129.03|129.1
2024-01-03|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|111.56
2024-01-03|XOM|Integrated Oil & Gas - Energy|3|102.36|103.22
2024-01-03|WY|Timber REITs - Real Estate|1|34.79|34.06
2024-01-03|ZBRA|Electronic Equipment & Instruments - Information Technology|7|252.52|252.52
2024-01-17|ZTS|Pharmaceuticals - Health Care|10|196.57|190.9
2024-01-17|ZBH|Health Care Equipment - Health Care|16|121.39|122.23
2024-01-17|YUM|Restaurants - Consumer Discretionary|15|129.03|129.08
2024-01-17|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|109.69
2024-01-17|ZBRA|Electronic Equipment & Instruments - Information Technology|8|239.17|239.17
2024-01-17|XEL|Multi-Utilities - Utilities|1|60.09|60.09
2024-01-17|WBD|Broadcasting - Communication Services|3|10.16|10.16
2024-01-24|ZBH|Health Care Equipment - Health Care|16|121.39|120.52
2024-01-24|YUM|Restaurants - Consumer Discretionary|15|129.03|129.44
2024-01-24|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|111.7
2024-01-24|ZBRA|Electronic Equipment & Instruments - Information Technology|8|239.17|254.17
2024-01-24|XEL|Multi-Utilities - Utilities|1|60.09|58.22
2024-01-24|WBD|Broadcasting - Communication Services|3|10.16|10.41
2024-01-24|ZTS|Pharmaceuticals - Health Care|10|186.07|186.07
2024-02-09|ZBH|Health Care Equipment - Health Care|16|121.39|122.8
2024-02-09|YUM|Restaurants - Consumer Discretionary|15|129.03|130.27
2024-02-09|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|124.3
2024-02-09|ZBRA|Electronic Equipment & Instruments - Information Technology|8|239.17|253.09
2024-02-09|XEL|Multi-Utilities - Utilities|1|60.09|58.17
2024-02-09|ZTS|Pharmaceuticals - Health Care|10|186.07|197.32
2024-02-09|WBD|Broadcasting - Communication Services|3|9.64|9.64
2024-02-15|ZBH|Health Care Equipment - Health Care|16|121.39|124.4
2024-02-15|YUM|Restaurants - Consumer Discretionary|15|129.03|135.4
2024-02-15|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|124.42
2024-02-15|XEL|Multi-Utilities - Utilities|1|60.09|59.01
2024-02-15|ZTS|Pharmaceuticals - Health Care|10|186.07|189.65
2024-02-15|WBD|Broadcasting - Communication Services|3|9.64|10.14
2024-02-15|ZBRA|Electronic Equipment & Instruments - Information Technology|7|283.75|283.75
2024-02-15|XOM|Integrated Oil & Gas - Energy|2|103.73|103.73
2024-02-15|XEL|Multi-Utilities - Utilities|1|59.01|59.01
2024-02-15|WBD|Broadcasting - Communication Services|1|10.14|10.14
2024-02-21|ZBH|Health Care Equipment - Health Care|16|121.39|128.35
2024-02-21|YUM|Restaurants - Consumer Discretionary|15|129.03|135.23
2024-02-21|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|123.49
2024-02-21|XEL|Multi-Utilities - Utilities|1|60.09|59.81
2024-02-21|ZTS|Pharmaceuticals - Health Care|10|186.07|188.38
2024-02-21|WBD|Broadcasting - Communication Services|3|9.64|9.57
2024-02-21|ZBRA|Electronic Equipment & Instruments - Information Technology|7|283.75|274.43
2024-02-21|XOM|Integrated Oil & Gas - Energy|2|103.73|104.85
2024-02-21|XEL|Multi-Utilities - Utilities|1|59.01|59.81
2024-02-21|WBD|Broadcasting - Communication Services|1|9.57|9.57
2024-02-23|ZBH|Health Care Equipment - Health Care|16|121.39|129.18
2024-02-23|YUM|Restaurants - Consumer Discretionary|15|129.03|138.32
2024-02-23|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|125.63
2024-02-23|XEL|Multi-Utilities - Utilities|1|60.09|59.33
2024-02-23|ZTS|Pharmaceuticals - Health Care|10|186.07|197.21
2024-02-23|ZBRA|Electronic Equipment & Instruments - Information Technology|7|283.75|274.99
2024-02-23|XOM|Integrated Oil & Gas - Energy|2|103.73|103.84
2024-02-23|XEL|Multi-Utilities - Utilities|1|59.01|59.33
2024-02-23|WY|Timber REITs - Real Estate|1|33.38|33.38
2024-02-29|ZBH|Health Care Equipment - Health Care|16|121.39|124.36
2024-02-29|YUM|Restaurants - Consumer Discretionary|15|129.03|138.42
2024-02-29|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|127.05
2024-02-29|ZTS|Pharmaceuticals - Health Care|10|186.07|198.33
2024-02-29|ZBRA|Electronic Equipment & Instruments - Information Technology|7|283.75|279.48
2024-02-29|XOM|Integrated Oil & Gas - Energy|2|103.73|104.52
2024-02-29|WY|Timber REITs - Real Estate|1|33.38|34.38
2024-02-29|XOM|Integrated Oil & Gas - Energy|1|104.52|104.52
2024-02-29|WBD|Broadcasting - Communication Services|1|8.79|8.79
2024-03-04|ZBH|Health Care Equipment - Health Care|16|121.39|125.51
2024-03-04|YUM|Restaurants - Consumer Discretionary|15|129.03|138.55
2024-03-04|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|127.85
2024-03-04|ZTS|Pharmaceuticals - Health Care|10|186.07|187.86
2024-03-04|ZBRA|Electronic Equipment & Instruments - Information Technology|7|283.75|291.65
2024-03-04|XOM|Integrated Oil & Gas - Energy|2|103.73|104.36
2024-03-04|WY|Timber REITs - Real Estate|1|33.38|35.36
2024-03-04|XOM|Integrated Oil & Gas - Energy|1|104.52|104.36
2024-03-04|WBD|Broadcasting - Communication Services|1|8.11|8.11
2024-03-13|ZBH|Health Care Equipment - Health Care|16|121.39|126.59
2024-03-13|YUM|Restaurants - Consumer Discretionary|15|129.03|138.36
2024-03-13|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|128.02
2024-03-13|ZBRA|Electronic Equipment & Instruments - Information Technology|7|283.75|284.5
2024-03-13|XOM|Integrated Oil & Gas - Energy|2|103.73|109.53
2024-03-13|WY|Timber REITs - Real Estate|1|33.38|34.56
2024-03-13|XOM|Integrated Oil & Gas - Energy|1|104.52|109.53
2024-03-13|WBD|Broadcasting - Communication Services|1|8.11|8.85
2024-03-13|ZTS|Pharmaceuticals - Health Care|10|176.23|176.23
2024-03-26|ZBH|Health Care Equipment - Health Care|16|121.39|127.87
2024-03-26|YUM|Restaurants - Consumer Discretionary|15|129.03|134.8
2024-03-26|XYL|Industrial Machinery & Supplies & Components - Industrials|17|113.67|127.9
2024-03-26|ZBRA|Electronic Equipment & Instruments - Information Technology|7|283.75|291.38
2024-03-26|XOM|Integrated Oil & Gas - Energy|2|103.73|113.79
2024-03-26|WY|Timber REITs - Real Estate|1|33.38|35.45
2024-03-26|XOM|Integrated Oil & Gas - Energy|1|104.52|113.79
2024-03-26|WBD|Broadcasting - Communication Services|1|8.11|8.38
2024-03-26|ZTS|Pharmaceuticals - Health Care|10|165.67|165.67
2024-04-03|ZBH|Health Care Equipment - Health Care|16|121.39|130.01
2024-04-03|YUM|Restaurants - Consumer Discretionary|15|129.03|139.01
