Date|symbol|operation|quantity|price|balance
2024-01-02|CVX|BUY|6|149.48|9103.12
2024-01-02|WYNN|BUY|10|94.6|8157.12
2024-01-02|ZTS|BUY|5|196.57|7174.27
2024-01-02|ZBRA|BUY|3|267.98|6370.33
2024-01-02|ZBH|BUY|8|121.39|5399.21
2024-01-02|YUM|BUY|7|129.03|4496.0
2024-01-02|XYL|BUY|8|113.67|3586.64
2024-01-02|XOM|BUY|1|102.36|3484.28
2024-01-02|XEL|BUY|15|63.47|2532.23
2024-01-02|WY|BUY|28|34.79|1558.11
2024-01-02|WTW|BUY|4|239.95|598.31
2024-01-02|WST|BUY|1|348.69|249.62
2024-01-02|WRB|BUY|5|48.1|9.12
2024-01-03|ZBRA|SELL|3|252.52|766.68
2024-01-03|MPC|BUY|4|157.89|135.12
2024-01-03|BWA|BUY|3|34.03|33.03
2024-01-03|WBD|BUY|2|11.3|10.43
2024-01-11|WBD|SELL|2|10.54|31.51
2024-01-11|WBD|BUY|2|10.54|10.43
2024-01-16|WBD|BUY|1|10.35|0.08
2024-01-17|XOM|SELL|1|96.98|97.06
2024-01-17|XEL|SELL|15|60.09|998.41
2024-01-17|WY|SELL|28|32.47|1907.57
2024-01-17|FOXA|BUY|31|30.64|957.73
2024-01-17|WMT|BUY|17|53.69|45.0
2024-01-17|WY|BUY|1|32.47|12.53
2024-01-17|HBAN|BUY|1|12.24|0.29
2024-01-18|CVX|SELL|6|141.82|851.21
2024-01-18|ZBRA|BUY|3|249.59|102.44
2024-01-18|XOM|BUY|1|96.8|5.64
2024-01-24|ZTS|SELL|5|186.07|935.99
2024-01-24|ZTS|BUY|5|186.07|5.64
2024-01-25|WRB|SELL|5|55.51|283.19
2024-01-25|PG|BUY|1|155.62|127.57
2024-01-25|XOM|BUY|1|102.13|25.44
2024-01-25|VTRS|BUY|2|11.74|1.96
2024-02-07|WST|SELL|1|413.0|414.96
2024-02-07|WBD|SELL|2|9.75|434.46
2024-02-07|WBD|SELL|1|9.75|444.21
2024-02-07|CPRT|BUY|8|50.85|37.41
2024-02-07|WY|BUY|1|32.86|4.55
2024-02-08|BWA|SELL|3|31.48|98.99
2024-02-08|FOXA|SELL|31|28.78|991.17
2024-02-08|SNPS|BUY|1|570.69|420.48
2024-02-08|EG|BUY|1|354.56|65.92
2024-02-08|PLTR|BUY|2|24.51|16.9
2024-02-08|WBD|BUY|1|9.83|7.07
2024-02-15|WTW|SELL|4|277.44|1116.83
2024-02-15|CRL|BUY|4|245.4|135.23
2024-02-15|XOM|BUY|1|103.73|31.5
